,Profession,encoded
0,Chef,0.16869971450817545
1,Teacher,0.1791617122473246
2,Other,0.18171286425017769
3,Business Analyst,0.19742883379247014
4,Finanancial Analyst,0.17152281473336997
5,Chemist,0.15562248995983935
6,Electrician,0.17433751743375175
7,Software Engineer,0.18312559923298177
8,Data Scientist,0.20227482324008608
9,Plumber,0.17729591836734693
10,Marketing Manager,0.17224334600760458
11,Accountant,0.1890380313199105
12,Entrepreneur,0.15219005196733482
13,HR Manager,0.2195840235597276
14,UX/UI Designer,0.16666666666666666
15,Content Writer,0.14916445119635396
16,Educational Consultant,0.1907912146070389
17,Civil Engineer,0.19920119820269597
18,Manager,0.20294117647058824
19,Pharmacist,0.15749669124598223
20,Financial Analyst,0.20794824399260628
21,Architect,0.21472184531886024
22,Mechanical Engineer,0.21515735388567758
23,Customer Support,0.17467248908296942
24,Consultant,0.1705028328611898
25,Judge,0.2322885358522971
26,Researcher,0.17615769712140175
27,Pilot,0.1868590960881124
28,Graphic Designer,0.2875237492083597
29,Travel Consultant,0.1772853185595568
30,Digital Marketer,0.16648590021691975
31,Lawyer,0.19224283305227655
32,Research Analyst,0.18112798264642083
33,Sales Executive,0.17946542214679678
34,Doctor,0.17146118721461187
35,Unemployed,0.2051329601991972
36,Investment Banker,0.19548872180451127
37,Family Consultant,0.15807048071045654
38,B.Com,0.15807048071045654
39,BE,0.1559367009501722
40,Student,0.20802062428877305
41,Yogesh,0.2580191140907995
42,Dev,0.22686223340041609
43,MBA,0.2051329601991972
44,LLM,0.2051329601991972
45,BCA,0.15364453850468562
46,Academic,0.16408078987642763
47,Profession,0.15364453850468562
48,FamilyVirar,0.2051329601991972
49,City Manager,0.1559367009501722
50,BBA,0.2051329601991972
51,Medical Doctor,0.1559367009501722
52,Working Professional,0.15807048071045654
53,MBBS,0.22686223340041609
54,Patna,0.15807048071045654
55,Unveil,0.15807048071045654
56,B.Ed,0.15807048071045654
57,Nagpur,0.15807048071045654
58,Moderate,0.28817895507345437
59,M.Ed,0.15807048071045654
60,Analyst,0.19318384758801177
61,Pranav,0.15807048071045654
62,Visakhapatnam,0.15807048071045654
63,PhD,0.1559367009501722